문제 번호,제목,레벨,태그,링크
10250,ACM 호텔,3,"arithmetic, implementation, math",https://www.acmicpc.net/problem/10250
10430,나머지,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/10430
10451,순열 사이클,,,https://www.acmicpc.net/problem/10451
10718,We love kriii,1,implementation,https://www.acmicpc.net/problem/10718
10773,제로,7,"data_structures, implementation, stack",https://www.acmicpc.net/problem/10773
10798,세로읽기,5,"implementation, string",https://www.acmicpc.net/problem/10798
10807,개수 세기,1,implementation,https://www.acmicpc.net/problem/10807
10809,알파벳 찾기,4,"implementation, string",https://www.acmicpc.net/problem/10809
10810,공 넣기,3,"implementation, simulation",https://www.acmicpc.net/problem/10810
10811,바구니 뒤집기,4,"implementation, simulation",https://www.acmicpc.net/problem/10811
10813,공 바꾸기,4,"implementation, simulation",https://www.acmicpc.net/problem/10813
10814,나이순 정렬,6,sorting,https://www.acmicpc.net/problem/10814
10815,숫자 카드,6,"binary_search, data_structures, hash_set, sorting",https://www.acmicpc.net/problem/10815
10816,숫자 카드 2,7,"binary_search, data_structures, hash_set, sorting",https://www.acmicpc.net/problem/10816
10818,"최소, 최대",3,"implementation, math",https://www.acmicpc.net/problem/10818
10828,스택,7,"data_structures, implementation, stack",https://www.acmicpc.net/problem/10828
10830,행렬 제곱,,,https://www.acmicpc.net/problem/10830
10844,쉬운 계단 수,,,https://www.acmicpc.net/problem/10844
10845,큐,7,"data_structures, queue",https://www.acmicpc.net/problem/10845
10866,덱,7,"data_structures, deque, implementation",https://www.acmicpc.net/problem/10866
10869,사칙연산,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/10869
10871,X보다 작은 수,1,implementation,https://www.acmicpc.net/problem/10871
10926,??!,1,implementation,https://www.acmicpc.net/problem/10926
10950,A+B - 3,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/10950
10951,A+B - 4,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/10951
10952,A+B - 5,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/10952
10971,외판원 순회 2,,,https://www.acmicpc.net/problem/10971
10972,다음 순열,,,https://www.acmicpc.net/problem/10972
10973,이전 순열,,,https://www.acmicpc.net/problem/10973
10987,모음의 개수,2,"implementation, string",https://www.acmicpc.net/problem/10987
10988,팰린드롬인지 확인하기,3,"implementation, string",https://www.acmicpc.net/problem/10988
10989,수 정렬하기 3,5,sorting,https://www.acmicpc.net/problem/10989
10998,A×B,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/10998
11000,강의실 배정,,,https://www.acmicpc.net/problem/11000
11005,진법 변환 2,5,"implementation, math",https://www.acmicpc.net/problem/11005
11021,A+B - 7,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/11021
11022,A+B - 8,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/11022
11047,동전 0,7,greedy,https://www.acmicpc.net/problem/11047
11050,이항 계수 1,5,"combinatorics, implementation, math",https://www.acmicpc.net/problem/11050
11052,카드 구매하기,,,https://www.acmicpc.net/problem/11052
11053,가장 긴 증가하는 부분 수열,,,https://www.acmicpc.net/problem/11053
11054,가장 긴 바이토닉 부분 수열,,,https://www.acmicpc.net/problem/11054
11057,오르막 수,,,https://www.acmicpc.net/problem/11057
11066,파일 합치기,,,https://www.acmicpc.net/problem/11066
11279,최대 힙,,,https://www.acmicpc.net/problem/11279
11286,절댓값 힙,,,https://www.acmicpc.net/problem/11286
11382,꼬마 정민,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/11382
11399,ATM,7,"greedy, sorting",https://www.acmicpc.net/problem/11399
11403,경로 찾기,,,https://www.acmicpc.net/problem/11403
11404,플로이드,,,https://www.acmicpc.net/problem/11404
11478,서로 다른 부분 문자열의 개수,8,"data_structures, hash_set, string, tree_set",https://www.acmicpc.net/problem/11478
11650,좌표 정렬하기,6,sorting,https://www.acmicpc.net/problem/11650
11651,좌표 정렬하기 2,6,sorting,https://www.acmicpc.net/problem/11651
11653,소인수분해,5,"math, number_theory, primality_test",https://www.acmicpc.net/problem/11653
11654,아스키 코드,1,implementation,https://www.acmicpc.net/problem/11654
11659,구간 합 구하기 4,,,https://www.acmicpc.net/problem/11659
11660,구간 합 구하기 5,,,https://www.acmicpc.net/problem/11660
11718,그대로 출력하기,3,"implementation, string",https://www.acmicpc.net/problem/11718
11720,숫자의 합,2,"implementation, math, string",https://www.acmicpc.net/problem/11720
11723,집합,6,"bitmask, implementation",https://www.acmicpc.net/problem/11723
11724,연결 요소의 개수,,"graphs, graph_traversal, bfs, dfs",https://www.acmicpc.net/problem/11724
11725,트리의 부모 찾기,,,https://www.acmicpc.net/problem/11725
11726,2×n 타일링,,,https://www.acmicpc.net/problem/11726
11727,2×n 타일링 2,,,https://www.acmicpc.net/problem/11727
11866,요세푸스 문제 0,7,"data_structures, implementation, queue",https://www.acmicpc.net/problem/11866
12015,가장 긴 증가하는 부분 수열 2,,,https://www.acmicpc.net/problem/12015
12738,가장 긴 증가하는 부분 수열 3,,,https://www.acmicpc.net/problem/12738
12851,숨바꼭질 2,,,https://www.acmicpc.net/problem/12851
12865,평범한 배낭,,,https://www.acmicpc.net/problem/12865
13172,Σ,,,https://www.acmicpc.net/problem/13172
13241,최소공배수,6,"euclidean, math, number_theory",https://www.acmicpc.net/problem/13241
13334,철로,,,https://www.acmicpc.net/problem/13334
13549,숨바꼭질 3,,,https://www.acmicpc.net/problem/13549
13904,과제,,,https://www.acmicpc.net/problem/13904
14215,세 막대,3,"geometry, implementation, math",https://www.acmicpc.net/problem/14215
14425,문자열 집합,7,"data_structures, hash_set, string, tree_set",https://www.acmicpc.net/problem/14425
14465,소가 길을 건너간 이유 5,,,https://www.acmicpc.net/problem/14465
14500,테트로미노,,,https://www.acmicpc.net/problem/14500
14501,퇴사,,,https://www.acmicpc.net/problem/14501
14502,연구소,,,https://www.acmicpc.net/problem/14502
14626,ISBN,,,https://www.acmicpc.net/problem/14626
14681,사분면 고르기,1,"implementation, geometry",https://www.acmicpc.net/problem/14681
14924,폰 노이만과 파리,2,"arithmetic, math",https://www.acmicpc.net/problem/14924
14938,서강그라운드,,,https://www.acmicpc.net/problem/14938
14940,쉬운 최단거리,,,https://www.acmicpc.net/problem/14940
15552,빠른 A+B,2,"implementation, arithmetic, math",https://www.acmicpc.net/problem/15552
15649,N과 M (1),,,https://www.acmicpc.net/problem/15649
15650,N과 M (2),,,https://www.acmicpc.net/problem/15650
15652,N과 M (4),,,https://www.acmicpc.net/problem/15652
