제출 번호,문제 번호,결과,메모리,시간,제출 시간,태그
50490513,4153,틀렸습니다,,,2년 전,"['geometry', 'math', 'pythagoras']"
50489088,10250,틀렸습니다,,,2년 전,"['arithmetic', 'implementation', 'math']"
50488451,11050,컴파일 에러,,,2년 전,"['combinatorics', 'implementation', 'math']"
50488426,11050,컴파일 에러,,,2년 전,"['combinatorics', 'implementation', 'math']"
50451323,10989,런타임 에러 (Segfault),,,2년 전,['sorting']
50450901,10989,런타임 에러 (Segfault),,,2년 전,['sorting']
50450896,10989,컴파일 에러,,,2년 전,['sorting']
50450830,10989,런타임 에러 (Segfault),,,2년 전,['sorting']
50450595,10989,런타임 에러 (OutOfBounds),,,2년 전,['sorting']
50450580,10989,컴파일 에러,,,2년 전,['sorting']
50450341,10989,메모리 초과,,,2년 전,['sorting']
50450331,10989,컴파일 에러,,,2년 전,['sorting']
50450222,2751,컴파일 에러,,,2년 전,['sorting']
50450189,2751,시간 초과,,,2년 전,['sorting']
50449885,2751,시간 초과,,,2년 전,['sorting']
50447823,15829,100점,2024,0,2년 전,"['hashing', 'implementation', 'string']"
50447793,15829,컴파일 에러,,,2년 전,"['hashing', 'implementation', 'string']"
50447764,15829,컴파일 에러,,,2년 전,"['hashing', 'implementation', 'string']"
50447630,15829,50점,1112,0,2년 전,"['hashing', 'implementation', 'string']"
50447381,15829,50점,1112,0,2년 전,"['hashing', 'implementation', 'string']"
50447356,15829,50점,1112,0,2년 전,"['hashing', 'implementation', 'string']"
50447340,15829,50점,1112,0,2년 전,"['hashing', 'implementation', 'string']"
50447320,15829,50점,1112,0,2년 전,"['hashing', 'implementation', 'string']"
50447170,15829,틀렸습니다,,,2년 전,"['hashing', 'implementation', 'string']"
50447124,15829,틀렸습니다,,,2년 전,"['hashing', 'implementation', 'string']"
50447097,15829,틀렸습니다,,,2년 전,"['hashing', 'implementation', 'string']"
50447081,15829,틀렸습니다,,,2년 전,"['hashing', 'implementation', 'string']"
50447065,15829,틀렸습니다,,,2년 전,"['hashing', 'implementation', 'string']"
50447052,15829,틀렸습니다,,,2년 전,"['hashing', 'implementation', 'string']"
50447020,15829,컴파일 에러,,,2년 전,"['hashing', 'implementation', 'string']"
50446932,15829,컴파일 에러,,,2년 전,"['hashing', 'implementation', 'string']"
50446851,15829,컴파일 에러,,,2년 전,"['hashing', 'implementation', 'string']"
50446828,15829,컴파일 에러,,,2년 전,"['hashing', 'implementation', 'string']"
50179296,15829,50점,17720,208,2년 전,"['hashing', 'implementation', 'string']"
50179258,15829,50점,17704,208,2년 전,"['hashing', 'implementation', 'string']"
50179209,15829,50점,17780,208,2년 전,"['hashing', 'implementation', 'string']"
50179111,15829,50점,17732,208,2년 전,"['hashing', 'implementation', 'string']"
50179052,15829,50점,17692,208,2년 전,"['hashing', 'implementation', 'string']"
50179025,15829,50점,17736,204,2년 전,"['hashing', 'implementation', 'string']"
50177720,2775,런타임 에러 (ArrayIndexOutOfBounds),,,2년 전,"['dp', 'implementation', 'math']"
50141716,1654,틀렸습니다,,,2년 전,"['binary_search', 'parametric_search']"
50140289,1654,시간 초과,,,2년 전,"['binary_search', 'parametric_search']"
50140150,1654,틀렸습니다,,,2년 전,"['binary_search', 'parametric_search']"
50121976,1018,틀렸습니다,,,2년 전,['bruteforcing']
50121616,1018,틀렸습니다,,,2년 전,['bruteforcing']
50121435,1018,컴파일 에러,,,2년 전,['bruteforcing']
49900686,1018,컴파일 에러,,,2년 전,['bruteforcing']
49894870,2292,틀렸습니다,,,2년 전,['math']
49891690,2231,틀렸습니다,,,2년 전,['bruteforcing']
49885969,1018,출력 초과,,,2년 전,['bruteforcing']
49876215,2908,런타임 에러 (StringIndexOutOfBounds),,,2년 전,"['implementation', 'math']"
49876178,2908,틀렸습니다,,,2년 전,"['implementation', 'math']"
49875761,2753,틀렸습니다,,,2년 전,"['implementation', 'arithmetic', 'math']"
49807965,1157,틀렸습니다,,,2년 전,"['implementation', 'string']"
49807883,1157,틀렸습니다,,,2년 전,"['implementation', 'string']"
49806936,1157,틀렸습니다,,,2년 전,"['implementation', 'string']"
49803905,10952,런타임 에러 (NullPointer),,,2년 전,"['implementation', 'arithmetic', 'math']"
49803732,10952,런타임 에러 (NullPointer),,,2년 전,"['implementation', 'arithmetic', 'math']"
49803188,10951,런타임 에러 (NoSuchElement),,,2년 전,"['implementation', 'arithmetic', 'math']"
49803043,10951,런타임 에러 (NoSuchElement),,,2년 전,"['implementation', 'arithmetic', 'math']"
49802940,10951,런타임 에러 (NoSuchElement),,,2년 전,"['implementation', 'arithmetic', 'math']"
49802290,10951,틀렸습니다,,,2년 전,"['implementation', 'arithmetic', 'math']"
49800960,2920,틀렸습니다,,,2년 전,['implementation']
49798602,2675,런타임 에러 (NoSuchElement),,,2년 전,"['implementation', 'string']"
49797970,2562,틀렸습니다,,,2년 전,['implementation']
49797181,2475,컴파일 에러,,,2년 전,"['implementation', 'arithmetic', 'math']"
49796937,2438,컴파일 에러,,,2년 전,['implementation']
49796752,1152,컴파일 에러,,,2년 전,"['implementation', 'string']"
49796291,1152,틀렸습니다,,,2년 전,"['implementation', 'string']"
44602757,1067,시간 초과,,,2년 전,"['fft', 'math']"
44601335,1067,틀렸습니다,,,2년 전,"['fft', 'math']"
44601306,1067,컴파일 에러,,,2년 전,"['fft', 'math']"
44601294,1067,컴파일 에러,,,2년 전,"['fft', 'math']"
44593514,1067,틀렸습니다,,,2년 전,"['fft', 'math']"
44593362,1067,시간 초과,,,2년 전,"['fft', 'math']"
44591915,18108,컴파일 에러,,,2년 전,"['arithmetic', 'math']"
44591518,1001,컴파일 에러,,,2년 전,"['implementation', 'arithmetic', 'math']"
44591406,10172,컴파일 에러,,,2년 전,['implementation']
44591269,10171,컴파일 에러,,,2년 전,['implementation']
44591248,10171,컴파일 에러,,,2년 전,['implementation']
44587667,2557,컴파일 에러,,,2년 전,['implementation']
38202980,1000,컴파일 에러,,,3년 전,"['implementation', 'arithmetic', 'math']"
38201937,1000,컴파일 에러,,,3년 전,"['implementation', 'arithmetic', 'math']"
